comp143988_c0_seq4|m.77719	R_sang_25539
comp136329_c0_seq2|m.32219	R_sang_11551
comp146401_c0_seq7|m.103717	R_sang_18708
comp138494_c0_seq1|m.40384	R_sang_31221
comp142724_c0_seq2|m.66631	R_sang_28445
comp142621_c0_seq3|m.65888	R_sang_30228
comp144478_c0_seq4|m.82989	R_sang_23028
comp142271_c0_seq9|m.63163	R_sang_5081
comp115933_c0_seq1|m.8595	R_sang_12006
comp99089_c0_seq3|m.5088	R_sang_18560
comp120363_c0_seq1|m.10284	R_sang_18998
comp145107_c1_seq5|m.88968	R_sang_22017
comp146127_c1_seq4|m.99712	R_sang_9336
comp129179_c0_seq4|m.17315	R_sang_22730
comp144224_c1_seq7|m.80702	R_sang_11717
comp138166_c0_seq24|m.39032	R_sang_19947
comp145862_c0_seq1|m.97208	R_sang_7036
comp126426_c0_seq2|m.14438	R_sang_5234
comp146535_c0_seq2|m.104894	R_sang_15451
comp143697_c1_seq9|m.74840	R_sang_21182
comp105446_c0_seq2|m.6107	R_sang_23892
comp146860_c0_seq4|m.108832	R_sang_32971
comp139195_c0_seq1|m.43776	R_sang_15857
comp130805_c0_seq2|m.19420	R_sang_21235
comp139785_c0_seq7|m.46950	R_sang_20954
comp145864_c1_seq54|m.97435	R_sang_5203
comp136581_c0_seq1|m.33123	R_sang_29818
comp145402_c3_seq20|m.92367	R_sang_275
comp117758_c0_seq2|m.9186	R_sang_10066
comp146393_c0_seq7|m.103556	R_sang_7686
comp125424_c0_seq3|m.13605	R_sang_16799
comp144000_c0_seq4|m.77850	R_sang_6298
comp143388_c0_seq6|m.71818	R_sang_17555
comp121015_c0_seq1|m.10554	R_sang_6554
comp145284_c0_seq11|m.90847	R_sang_30479
comp1046337_c0_seq1|m.115906	R_sang_5305
comp143005_c0_seq3|m.68882	R_sang_30258
comp144997_c0_seq8|m.87877	R_sang_3828
comp130576_c0_seq1|m.19110	R_sang_15984
comp145014_c0_seq1|m.88087	R_sang_4943
comp131733_c0_seq2|m.20954	R_sang_27774
comp143795_c0_seq12|m.75813	R_sang_11278
comp134517_c0_seq1|m.26918	R_sang_1147
comp342714_c0_seq1|m.114070	R_sang_9570
comp129833_c0_seq1|m.18072	R_sang_30596
comp146760_c0_seq6|m.107350	R_sang_6276
comp144582_c0_seq3|m.84152	R_sang_11102
comp144929_c1_seq2|m.87200	R_sang_5565
comp30879_c0_seq1|m.699	R_sang_14030
comp129833_c0_seq1|m.18071	R_sang_21204
comp142450_c0_seq2|m.64313	R_sang_10109
comp146240_c1_seq1|m.100762	R_sang_11593
comp143613_c1_seq6|m.74182	R_sang_24265
comp132401_c0_seq3|m.22246	R_sang_4431
comp120283_c0_seq2|m.10242	R_sang_7698
comp145014_c0_seq2|m.88089	R_sang_25537
comp139334_c0_seq2|m.44503	R_sang_2792
comp137195_c0_seq1|m.35273	R_sang_15422
comp140101_c0_seq2|m.48871	R_sang_16098
comp141902_c0_seq2|m.61029	R_sang_21569
comp144891_c1_seq2|m.86910	R_sang_24311
comp140290_c0_seq2|m.49951	R_sang_32912
comp131599_c0_seq1|m.20715	R_sang_32034
comp122822_c0_seq1|m.11731	R_sang_12500
comp138637_c2_seq2|m.41181	R_sang_32089
comp121740_c0_seq1|m.11027	R_sang_2136
comp141782_c0_seq6|m.60255	R_sang_6503
comp136258_c0_seq1|m.31876	R_sang_12820
comp143224_c0_seq4|m.70534	R_sang_14853
comp144191_c1_seq10|m.80367	R_sang_17800
comp569783_c0_seq1|m.115182	R_sang_23160
comp128695_c0_seq1|m.16753	R_sang_3011
comp125652_c0_seq4|m.13811	R_sang_2931
comp112673_c0_seq1|m.7593	R_sang_8932
comp134897_c1_seq2|m.27901	R_sang_7298
comp135395_c0_seq1|m.29351	R_sang_31510
comp143340_c0_seq10|m.71366	R_sang_6504
comp97642_c0_seq3|m.4719	R_sang_16931
comp136858_c0_seq13|m.34264	R_sang_14317
comp93212_c0_seq2|m.4243	R_sang_7107
comp142929_c0_seq4|m.67987	R_sang_21197
comp139994_c0_seq6|m.48172	R_sang_22568
comp136863_c0_seq2|m.34280	R_sang_28756
comp127015_c0_seq2|m.14999	R_sang_22460
comp119441_c0_seq2|m.9859	R_sang_22819
comp115826_c0_seq3|m.8548	R_sang_28004
comp146088_c1_seq1|m.99343	R_sang_20249
comp138516_c0_seq1|m.40539	R_sang_2630
comp142512_c0_seq1|m.64766	R_sang_10022
comp135685_c0_seq2|m.30102	R_sang_7118
comp138506_c2_seq8|m.40445	R_sang_6278
comp139820_c0_seq3|m.47176	R_sang_184
comp140189_c4_seq1|m.49370	R_sang_22775
comp116559_c1_seq3|m.8792	R_sang_12892
comp95542_c0_seq1|m.4445	R_sang_32586
comp141252_c0_seq2|m.55670	R_sang_21547
comp138550_c0_seq2|m.40731	R_sang_1830
comp106570_c0_seq1|m.6272	R_sang_20473
comp125239_c0_seq2|m.13407	R_sang_6557
comp146299_c1_seq6|m.102374	R_sang_26893
comp93737_c0_seq2|m.4291	R_sang_16631
comp129069_c0_seq1|m.17196	R_sang_7691
comp140445_c0_seq1|m.51060	R_sang_3596
comp137163_c1_seq8|m.35166	R_sang_13635
comp137457_c2_seq5|m.36316	R_sang_19205
comp129014_c0_seq1|m.17113	R_sang_14938
comp140292_c1_seq1|m.49981	R_sang_19234
comp145387_c1_seq6|m.92118	R_sang_29147
comp518139_c0_seq1|m.114963	R_sang_23069
comp138483_c0_seq3|m.40354	R_sang_21253
comp146252_c1_seq3|m.100864	R_sang_11598
comp143733_c0_seq1|m.75176	R_sang_33203
comp133090_c0_seq1|m.23470	R_sang_11162
comp143594_c0_seq2|m.74007	R_sang_9246
comp140816_c0_seq2|m.53240	R_sang_4567
comp126597_c0_seq1|m.14569	R_sang_3272
comp145147_c0_seq5|m.89504	R_sang_27084
comp134861_c0_seq3|m.27789	R_sang_8053
comp145388_c0_seq5|m.92156	R_sang_2930
comp128975_c0_seq1|m.17071	R_sang_11882
comp3863_c0_seq1|m.3	R_sang_28414
comp144667_c0_seq10|m.84780	R_sang_19412
comp357627_c0_seq1|m.114223	R_sang_32458
comp142578_c1_seq1|m.65485	R_sang_18506
comp140213_c0_seq7|m.49505	R_sang_872
comp129002_c1_seq2|m.17101	R_sang_16196
comp143664_c0_seq12|m.74668	R_sang_3082
comp146764_c1_seq2|m.107390	R_sang_5778
comp146169_c1_seq55|m.100237	R_sang_1722
comp60787_c0_seq1|m.1994	R_sang_12708
comp135867_c0_seq7|m.30666	R_sang_10152
comp133211_c0_seq2|m.23702	R_sang_22439
comp133157_c1_seq2|m.23617	R_sang_28349
comp143664_c0_seq5|m.74660	R_sang_21966
comp685829_c0_seq1|m.115449	R_sang_30903
comp134466_c0_seq2|m.26766	R_sang_13353
comp120853_c0_seq1|m.10478	R_sang_12605
comp135468_c0_seq8|m.29498	R_sang_26630
comp146637_c0_seq14|m.105983	R_sang_30923
comp134968_c0_seq1|m.28046	R_sang_13643
comp39397_c0_seq1|m.1343	R_sang_2354
comp141421_c1_seq1|m.57067	R_sang_18612
comp142747_c0_seq2|m.66784	R_sang_6075
comp71943_c0_seq1|m.2409	R_sang_3498
comp478858_c0_seq1|m.114830	R_sang_25605
comp142031_c1_seq3|m.61695	R_sang_25340
comp43970_c0_seq1|m.1532	R_sang_30936
comp134836_c0_seq5|m.27696	R_sang_1059
comp124491_c0_seq3|m.12733	R_sang_12449
comp142028_c0_seq1|m.61674	R_sang_4017
comp146810_c0_seq2|m.108040	R_sang_7447
comp420151_c0_seq1|m.114559	R_sang_2632
comp120964_c0_seq5|m.10523	R_sang_10650
comp141336_c0_seq2|m.56524	R_sang_21639
comp134344_c1_seq12|m.26366	R_sang_8963
comp140077_c0_seq9|m.48743	R_sang_989
comp471472_c0_seq1|m.114773	R_sang_9405
comp141890_c1_seq5|m.60912	R_sang_30106
comp72098_c0_seq3|m.2424	R_sang_7551
comp144545_c0_seq4|m.83753	R_sang_1685
comp137300_c0_seq4|m.35617	R_sang_7552
comp144147_c1_seq7|m.79147	R_sang_29293
comp140474_c0_seq10|m.51209	R_sang_13273
comp142396_c4_seq2|m.63865	R_sang_29938
comp140595_c1_seq2|m.51870	R_sang_3613
comp130000_c0_seq2|m.18303	R_sang_15770
comp120071_c0_seq2|m.10129	R_sang_31598
comp99137_c0_seq1|m.5134	R_sang_5347
comp144620_c0_seq4|m.84505	R_sang_2633
comp126903_c0_seq2|m.14861	R_sang_18727
comp122743_c0_seq1|m.11662	R_sang_3677
comp137601_c1_seq1|m.36774	R_sang_1353
comp129357_c0_seq3|m.17509	R_sang_6975
comp141992_c1_seq2|m.61513	R_sang_4951
comp137612_c2_seq1|m.36804	R_sang_27261
comp38532_c0_seq1|m.1269	R_sang_31766
comp109140_c0_seq1|m.6656	R_sang_13224
comp141657_c0_seq1|m.58889	R_sang_19558
comp145343_c0_seq1|m.91571	R_sang_229
